ID,Page,Title,Type,Description,Image URL,Content URL,Timestamp,Genre
18,Main Page,For All Mankind,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/6e6X-HBI1yD3HH4MNLIkng/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/for-all-mankind/umc.cmc.6wsi780sz5tdbqcf11k76mkp7?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama; Sci-Fi
19,Main Page,Wolfs,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/coNJnVeTxL037pEjt5hi2A/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/movie/wolfs/umc.cmc.c3xhu25rw4jxxxzq4oio6snu?ctx_proot=tahoma_searchlanding,1.75938E+12,Crime; Thriller
20,Main Page,The Gorge,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/atB16fDyA9l0RdfRsFXaMw/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/movie/the-gorge/umc.cmc.26o403koqo2klixc0jtqy6tmc?ctx_proot=tahoma_searchlanding,1.75938E+12,Action; Adventure; Horror
21,Main Page,Black Bird,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/tvxM4d4qb3n0qnRQGa1yog/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/black-bird/umc.cmc.30gx1y8nwthydkrvhqu156p3?ctx_proot=tahoma_searchlanding,1.75938E+12,Biography; Crime; Drama
22,Main Page,Ghosted,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/jQb6_H0sn5TpR4e5KQgVWA/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/movie/ghosted/umc.cmc.6nodv9rf3ltfk2ar3pfc8hced?ctx_proot=tahoma_searchlanding,1.75938E+12,Action; Adventure; Comedy
23,Main Page,Masters of the Air,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/EBr0i1AUcUaIEg8TcqPNJw/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/masters-of-the-air/umc.cmc.7bxcni0vwgll9kmicq738k5q2?ctx_proot=tahoma_searchlanding,1.75938E+12,Action; Drama; History
24,Main Page,Your Friends & Neighbors,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/aJ6EfGjIo7OpHR2998M_ag/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/your-friends--neighbors/umc.cmc.74o37kzay0yuuub8iumddjsg?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama
25,Main Page,Bad Sisters,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/SL62-OyzmretxKb6cXDXrQ/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/bad-sisters/umc.cmc.14kr4vv65unannh7doqgvlh20?ctx_proot=tahoma_searchlanding,1.75938E+12,Comedy; Drama; Thriller
26,Apple Originals,The Morning Show,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/N4fzqVkhGqUYPL4Km2uasQ/225x338nr.webp,https://tv.apple.com/us/show/the-morning-show/umc.cmc.25tn3v8ku4b39tr6ccgb8nl6m,1.75938E+12,Drama
27,Apple Originals,Slow Horses,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/bArDzA292bd3Xk7rKhn42Q/225x338nr.webp,https://tv.apple.com/us/show/slow-horses/umc.cmc.2szz3fdt71tl1ulnbp8utgq5o,1.75938E+12,Drama; Thriller
28,Apple Originals,Platonic,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/sy3BDqFmJ1iospZk4xB_ow/225x338nr.webp,https://tv.apple.com/us/show/platonic/umc.cmc.y7bc18x7co813l8i2tlsyb4l,1.75938E+12,Comedy; Romance
29,Apple Originals,Invasion,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/ccP6rECH8LXO4gbKk9FpSQ/225x338nr.webp,https://tv.apple.com/us/show/invasion/umc.cmc.70b7z97fv7azfzn5baqnj88p6,1.75938E+12,Drama; Fantasy; Sci-Fi
30,Apple Originals,Ted Lasso,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/MEK-8GCPhPdtqifOJ_d8ag/225x338nr.webp,https://tv.apple.com/us/show/ted-lasso/umc.cmc.vtoh0mn0xn7t3c643xqonfzy,1.75938E+12,Comedy; Drama; Sport
31,Apple Originals,Chief of War,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/PikPwYpto47f43iEmewiBg/225x338nr.webp,https://tv.apple.com/us/show/chief-of-war/umc.cmc.6ag0zq020ielwv7m83v8r4dkw,1.75938E+12,Drama; History
32,Apple Originals,Foundation,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/4uR1q3YRSmx2qyTrRNUosg/225x338nr.webp,https://tv.apple.com/us/show/foundation/umc.cmc.5983fipzqbicvrve6jdfep4x3,1.75938E+12,Drama; Sci-Fi
33,Apple Originals,Severance,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/_705uGqVmFkkNIXfLCXHRw/225x338nr.webp,https://tv.apple.com/us/show/severance/umc.cmc.1srk2goyh2q2zdxcx605w8vtx,1.75938E+12,Drama; Mystery; Sci-Fi
34,Apple Originals,The Studio,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/IUeYwps2EAzS8Rpa9TLY3A/225x338nr.webp,https://tv.apple.com/us/show/the-studio/umc.cmc.7518algxc4lsoobtsx30dqb52,1.75938E+12,Comedy; Drama
35,Apple Originals,The Reluctant Traveler with Eugene Levy,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/ZgAHGC6TI9Iwy0x2VJRWCg/225x338nr.webp,https://tv.apple.com/us/show/the-reluctant-traveler-with-eugene-levy/umc.cmc.237ur6qdup9h826huv7jg25yu,1.75938E+12,Unknown
36,Apple Originals,All of You,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/mMEwUE62pZBiFXHTxVCdyQ/225x338nr.webp,https://tv.apple.com/us/movie/all-of-you/umc.cmc.3hac5oqhh3gxiu35spyu8fanf,1.75938E+12,Drama
37,Apple Originals,Highest 2 Lowest,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/c-jYogNND3BIyuISUXJ8_g/225x338nr.webp,https://tv.apple.com/us/movie/highest-2-lowest/umc.cmc.3rbg43tt2brl2cp5wwacfrmhx,1.75938E+12,Crime; Drama; Mystery
38,Apple Originals,"It’s the Great Pumpkin, Charlie Brown",Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/bIX-zqPE7D6wy67BG7fmsA/225x338nr.webp,https://tv.apple.com/us/movie/its-the-great-pumpkin-charlie-brown/umc.cmc.1c5nvp802hos5t3u0umlukkwh,1.75938E+12,Animation; Comedy; Family
39,Apple Originals,The Gorge,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/atB16fDyA9l0RdfRsFXaMw/225x338nr.webp,https://tv.apple.com/us/movie/the-gorge/umc.cmc.26o403koqo2klixc0jtqy6tmc,1.75938E+12,Action; Adventure; Horror
40,Apple Originals,Sharper,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/kAEyDZ1i6whCmIpcsqMH0A/225x338nr.webp,https://tv.apple.com/us/movie/sharper/umc.cmc.5ud0ivpwgqw2st0u4z73gwpar,1.75938E+12,Crime; Drama; Thriller
41,Apple Originals,Fountain of Youth,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/IjAMAaawaFGrazHDEIZ2zg/225x338nr.webp,https://tv.apple.com/us/movie/fountain-of-youth/umc.cmc.z5xrwbjg3gergiowhrzg61tq,1.75938E+12,Action; Adventure; Fantasy
42,Apple Originals,A Summer Musical,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/ecJf0V_9Hxwbm3f3uoRe_Q/225x338nr.webp,https://tv.apple.com/us/movie/a-summer-musical/umc.cmc.xesgxj0bt8yrrkrunae0wke7,1.75938E+12,Animation
43,Apple Originals,Greyhound,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/PCMtP8sLZF39mh_BP3sJ2g/225x338nr.webp,https://tv.apple.com/us/movie/greyhound/umc.cmc.o5z5ztufuu3uv8lx7m0jcega,1.75938E+12,Drama; History; War
44,Apple Originals,Wolfs,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/coNJnVeTxL037pEjt5hi2A/225x338nr.webp,https://tv.apple.com/us/movie/wolfs/umc.cmc.c3xhu25rw4jxxxzq4oio6snu,1.75938E+12,Crime; Thriller
45,Apple Originals,The Family Plan,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/bPdjzNmz1np6iAajg7RYuQ/225x338nr.webp,https://tv.apple.com/us/movie/the-family-plan/umc.cmc.6o6y3wel2lez2tkdu2cv8dzd1,1.75938E+12,Action; Comedy
46,Apple Originals,The Morning Show,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/4KGZXesihYXmuAbbuD4ktw/225x338CA.TVA23C01.webp,https://tv.apple.com/us/show/the-morning-show/umc.cmc.25tn3v8ku4b39tr6ccgb8nl6m?ctx_at=5&ctx_brand=tvs.sbd.4000,1.75938E+12,Drama
